question,answer
Living with ME/CFS,"Living with ME/CFS can be difficult. Extreme tiredness and other physical symptoms can make it hard to carry out everyday activities. You may have to make some major lifestyle changes.
ME/CFS can also affect your mental and emotional health, and have a negative effect on your self-esteem.
As well as asking your family and friends for support, you may find it useful to talk to other people with ME/CFS.
ME Association is a charity that provides information, support and practical advice for people affected by the condition.
You can find a local support group on the ME Association website
Video: myalgic encephalomyelitis or chronic fatigue syndrome (ME/CFS)
In this video, a doctor describes the symptoms, diagnosis and treatments for ME/CFS.
Transcript
Transcript
Audio Description
Audio Description
Play Video
Media last reviewed: 23 November 2022
Media review due: 23 November 2025"
Symptoms of CKD,"There are usually no symptoms of kidney disease in the early stages. It may only be diagnosed if you have a blood or urine test for another reason and the results show a possible problem with your kidneys.
At a more advanced stage, symptoms can include:
tiredness
swollen ankles, feet or hands
shortness of breath
feeling sick
blood in your pee (urine)
See a GP if you have persistent or worrying symptoms that you think could be caused by kidney disease.
Find out more about the symptoms of CKD."
Causes of CKD,"Chronic kidney disease is usually caused by other conditions that put a strain on the kidneys. Often it's the result of a combination of different problems.
CKD can be caused by:
high blood pressure – over time, this can put strain on the small blood vessels in the kidneys and stop the kidneys working properly
diabetes – too much glucose in your blood can damage the tiny filters in the kidneys
high cholesterol – this can cause a build-up of fatty deposits in the blood vessels supplying your kidneys, which can make it harder for them to work properly
kidney infections
glomerulonephritis – kidney inflammation
autosomal dominant polycystic kidney disease – an inherited condition where growths called cysts develop in the kidneys
blockages in the flow of urine – for example, from kidney stones that keep coming back, or an enlarged prostate
long-term, regular use of certain medicines – such as lithium and non-steroidal anti-inflammatory drugs (NSAIDs)
You can help prevent CKD by making healthy lifestyle changes and ensuring any underlying conditions you have are well controlled."
Tests for CKD,"CKD can be diagnosed using blood and urine tests. These tests look for high levels of certain substances in your blood and urine that are signs your kidneys are not working properly.
If you're at a high risk of developing kidney disease (for example, you have a known risk factor such as high blood pressure or diabetes), you may be advised to have regular tests to check for CKD so it's found at an early stage.
The results of your blood and urine tests can be used to tell the stage of your kidney disease. This is a number that reflects how severe the damage to your kidneys is, with a higher number indicating more serious CKD.
Find out more about how CKD is diagnosed."
Treatments for CKD,"There's no cure for CKD, but treatment can help relieve the symptoms and stop it getting worse.
Your treatment will depend on how severe your condition is.
The main treatments are:
lifestyle changes to help you remain as healthy as possible
medicine to control associated problems such as high blood pressure and high cholesterol
dialysis – treatment to replicate some of the kidney's functions; this may be necessary in advanced CKD
kidney transplant – this may also be necessary in advanced CKD
You'll also be advised to have regular check-ups to monitor your condition.
Find out more about how CKD is treated and living with CKD."
Outlook for CKD,"CKD can range from a mild condition with no or few symptoms, to a very serious condition where the kidneys stop working, sometimes called kidney failure.
Most people with CKD will be able to control their condition with medicine and regular check-ups. CKD only progresses to kidney failure in around 2 in 100 people with the condition.
If you have CKD, even if it's mild, you're at an increased risk of developing other serious problems, such as cardiovascular disease. This is a group of conditions affecting the heart and blood vessels, which includes heart attack and stroke.
Cardiovascular disease is one of the main causes of death in people with kidney disease, although healthy lifestyle changes and medicine can help reduce your risk of developing it.
Want to know more?
Kidney Care UK: Chronic kidney disease
National Kidney Federation: What is kidney disease?
Kidney Research UK: Chronic kidney disease
Information:
Social care and support guide
If you:
need help with day-to-day living because of illness or disability
care for someone regularly because they're ill, elderly or disabled – including family members
Our guide to social care and support explains your options and where you can get support."
Symptoms of COPD,"The main symptoms of COPD are:
shortness of breath, particularly when you're active
a persistent chesty cough with phlegm – some people may dismiss this as just a ""smoker's cough""
frequent chest infections
persistent wheezing
Without treatment, the symptoms usually get progressively worse. There may also be periods when they get suddenly worse, known as a flare-up or exacerbation.
Find out more about the symptoms of COPD."
When to get medical advice,"See a GP if you have persistent symptoms of COPD, particularly if you're over 35 and smoke or used to smoke.
Do not ignore the symptoms. If they're caused by COPD, it's best to start treatment as soon as possible, before your lungs become significantly damaged.
The GP will ask about your symptoms and whether you smoke or have smoked in the past. They can organise a breathing test to help diagnose COPD and rule out other lung conditions, such as asthma.
Find out more about how COPD is diagnosed."
Causes of COPD,"COPD happens when the lungs become inflamed, damaged and narrowed. The main cause is smoking, although the condition can sometimes affect people who have never smoked.
The likelihood of developing COPD increases the more you smoke and the longer you've smoked.
Some cases of COPD are caused by long-term exposure to harmful fumes or dust. Others are the result of a rare genetic problem that makes the lungs more vulnerable to damage.
Find out more about the causes of COPD."
Treatments for COPD,"The damage to the lungs caused by COPD is permanent, but treatment can help slow down the progression of the condition.
Treatments include:
stopping smoking – if you have COPD and you smoke, this is the most important thing you can do
inhalers and medicines – to help make breathing easier
pulmonary rehabilitation – a specialised programme of exercise and education
surgery or a lung transplant – although this is only an option for a very small number of people
Find out more about how COPD is treated and living with COPD."
Outlook for COPD,"The outlook for COPD varies from person to person. The condition cannot be cured or reversed, but for many people, treatment can help keep it under control so it does not severely limit their daily activities.
But in some people, COPD may continue to get worse despite treatment, eventually having a significant impact on their quality of life and leading to life-threatening problems.
Information:
Social care and support guide
If you:
need help with day-to-day living because of illness or disability
care for someone regularly because they're ill, elderly or disabled – including family members
The social care and support guide explains your options and where you can get support."
Preventing COPD,"COPD is largely a preventable condition. You can significantly reduce your chances of developing it if you avoid smoking.
If you already smoke, stopping can help prevent further damage to your lungs before it starts to cause troublesome symptoms.
If you think you need help to stop smoking, visit Quit smoking for free advice and support.
You may also want to talk to a GP about the stop smoking treatments available.
Find out more about stopping smoking and where to find a stop smoking service near you."
Symptoms of chronic pancreatitis,"The most common symptom of chronic pancreatitis is repeated episodes of severe pain in your tummy (abdomen).
The pain usually develops in the middle or left side of your tummy and can move along your back.
It's been described as a burning or shooting pain that comes and goes, but may last for several hours or days.
Although the pain sometimes comes on after eating a meal, there's often no trigger. Some people might feel sick and vomit.
As the condition progresses, the painful episodes may become more frequent and severe.
Eventually, a constant dull pain can develop in your tummy, between episodes of severe pain.
This is most common in people who continue to drink alcohol after being diagnosed with chronic pancreatitis.
Some people who stop drinking alcohol and stop smoking may find the pain is less severe."
When to get medical advice,"See a GP immediately if you're experiencing severe pain, as this is a warning sign that something is wrong.
If this is not possible, contact NHS 111 for advice.
You should also see a GP as soon as you can if:
your skin or the whites of your eyes turn yellow (jaundice)
you keep being sick
Jaundice can have a range of causes other than pancreatitis, but it's usually a sign there's something wrong with your digestive system."
Diagnosing chronic pancreatitis,"A GP will ask about your symptoms and may examine you.
They'll refer you to a specialist for further tests if they think you have chronic pancreatitis.
The specialist will be able to confirm whether you have the condition.
Tests
Tests and scans are usually carried out in your local hospital.
They may include:
an ultrasound scan – where sound waves are used to create a picture of your pancreas
a CT scan – where a series of X-rays are taken to build up a more detailed 3D image of your pancreas
an endoscopic ultrasound scan – where a long, thin tube containing a camera is passed through your mouth and down into your stomach to take pictures of your pancreas
magnetic resonance cholangiopancreatography (MRCP) – a type of MRI scan that takes a detailed image of your pancreas and the organs around it
Biopsy
Sometimes the symptoms of chronic pancreatitis can be very similar to pancreatic cancer.
You may need a biopsy, where a small sample of cells is taken from the pancreas and sent to a laboratory to be checked, to rule this out."
Causes of chronic pancreatitis,"The most common cause of chronic pancreatitis is drinking excessive amounts of alcohol over many years.
This can cause repeated episodes of acute pancreatitis, which results in increasing damage to the organ.
Find out more about alcohol misuse
In children the most common cause is cystic fibrosis.
Less common causes include:
smoking
the immune system attacking the pancreas (autoimmune chronic pancreatitis)
inheriting a faulty gene that stops the pancreas working properly
injury to the pancreas
gallstones blocking the openings (ducts) of the pancreas
radiotherapy to the tummy
In some cases, no cause can be identified. This is called idiopathic chronic pancreatitis."
Treatment for chronic pancreatitis,"The damage to the pancreas is permanent, but treatment can help control the condition and manage any symptoms.
People with chronic pancreatitis are usually advised to make lifestyle changes, such as stopping drinking alcohol and stopping smoking. They're also given medicine to relieve pain.
Surgery may also be an option for those experiencing severe pain."
Complications,"Living with chronic pain can cause mental as well as physical strain.
See a GP if you're experiencing stress, anxiety or depression caused by chronic pancreatitis.
Some people with chronic pancreatitis will eventually develop a type of diabetes known as type 3c diabetes.
This occurs when the pancreas can no longer produce insulin because it's become so damaged.
People with chronic pancreatitis can sometimes develop sacs of fluid on the surface of their pancreas (pseudocysts). These can cause bloating, indigestion and dull tummy pain.
These cysts often disappear on their own. But sometimes they need to be drained using a technique called endoscopic ultrasound drainage, or endoscopic transpapillary drainage.
Chronic pancreatitis increases your risk of pancreatic cancer, although the chance is still small."
Support for people living with chronic pancreatitis,"Any long-term health condition, particularly one that causes recurring episodes of pain or constant pain, can affect your emotional and psychological health.
See a GP if you're experiencing psychological and emotional difficulties. There are medicines available that can help with stress, anxiety and depression.
Talking to other people with the same condition can often reduce feelings of isolation and stress.
The charity Guts UK, may be able to put you in touch with a local support group."
Check if you have chronic traumatic encephalopathy (CTE),"Early symptoms of chronic traumatic encephalopathy may not be noticeable at first.
They may include:
mood changes, such as depression or suicidal thoughts
personality changes
behaviour changes, such as aggression and mood swings
As the condition gets worse, you'll have more noticeable problems with thinking and memory.
Symptoms include:
short-term memory loss
confusion, such as getting lost or not knowing what time of day it is
difficulties with planning and organisation
problems with movement
Symptoms usually start gradually, often around 10 years after having repeated head injuries.
The symptoms may get worse gradually or stay the same for years before getting worse."
What happens at your GP appointment,"If you have symptoms of chronic traumatic encephalopathy (CTE), a GP will ask you about your symptoms and if you've played a lot of contact sports in the past or have had several head injuries or concussions.
They may also:
ask you to do simple tasks such as moving or walking around
do tests to check your memory and thinking
arrange blood or urine tests to check for other conditions that could be causing your symptoms
You may be referred to a specialist at a memory assessment service. These clinics help diagnose and care for people with dementia.
But you may not be formally diagnosed with CTE as this can only be done once you've died."
Causes of chronic traumatic encephalopathy (CTE),"If you've had repeated blows to the head or concussions over many years, you may have a higher chance of getting chronic traumatic encephalopathy.
You're most at risk if you:
regularly played contact sports, such as boxing, martial arts, football, rugby and American football
served in the military and have had blast injuries
have been physically assaulted often, such as from domestic violence
Anyone who's had repeated head injuries is at risk, but not everyone will get it.
It's thought the only way to lower your risk of getting CTE is to avoid repeated head injuries.
For example, you can do this by wearing the correct protective equipment for any sports you play and making sure head injuries are treated properly."
Treatments for chronic traumatic encephalopathy (CTE),"Chronic traumatic encephalopathy (CTE) cannot be cured, but medicines and other treatments can help your symptoms.
If it's thought you have chronic traumatic encephalopathy (CTE), the support you'll have is similar to the help given to people with dementia.
For example:
physiotherapy if you have difficulties with movement
occupational therapy for help with things like getting dressed or adapting your home to your needs
speech and language therapy for help with things like memory, speech, and difficulty eating and drinking
You'll be seen by a group of specialists, including a GP, a dementia care specialist and social care services.
The specialists involved in your care will work together to give you a care plan for your long-term care."
Medical reasons for a boy to have a circumcision,"It's rare for circumcision to be recommended for medical reasons in boys. This is because other less invasive and less risky treatments are usually available.
The following conditions affect the penis and, in rare cases, may require a circumcision:
Tight foreskin (phimosis) – where the foreskin is too tight to be pulled back over the head of the penis. This can sometimes cause pain when the penis is erect and, in rare cases, passing urine may be difficult.
Recurrent infection (balanitis) – where the foreskin and head of the penis become inflamed and infected.
Paraphimosis – where the foreskin cannot be returned to its original position after being pulled back, causing the head of the penis to become swollen and painful. Immediate treatment is needed to avoid serious complications, such as restricted blood flow to the penis.
Balanitis xerotica obliterans – a condition that causes a tight foreskin and, in some cases, also affects the head of the penis, which can become scarred and inflamed.
Read more about circumcision in adult men for medical reasons"
How the foreskin develops,"It's normal for a baby boy's foreskin not to pull back (retract) for the first few years of life.
Around the age of 3 – or later, in some cases – the foreskin should start to separate naturally from the head of the penis (glans). Most boys’ foreskins do not pull back (retract) before the age of 5, but sometimes it’s not possible until they’re 10 or older.
For some boys, the foreskin can take longer to separate, but this does not mean there's a problem and it will usually just detach at a later stage.
As the foreskin starts to separate from the head of the penis, you may see the foreskin ""ballooning out"" when your son passes urine. This can occasionally lead to infection (balanitis), but this ballooning usually settles down with time.
Never try to force your son's foreskin back, as it may be painful and damage the foreskin."
The procedure,"Circumcision is usually carried out on a day patient basis. This means your child will be admitted to hospital on the same day he has surgery and will not need to stay overnight.
He will not be able to eat or drink before having surgery – you'll receive detailed information about this in a letter.
After being admitted to hospital, your child will be seen by the surgeon who will carry out the procedure. They'll explain the operation in more detail, discuss any concerns and answer any questions you have.
They'll also ask you to sign a consent form, giving your permission for the operation.
The anaesthetist will also visit your child before the operation. Your son will usually have a general anaesthetic, so he'll be asleep throughout the procedure and unable to feel any pain or discomfort.
Circumcision is a relatively simple procedure. The foreskin is removed just behind the head of the penis using a scalpel or surgical scissors.
Any bleeding can be stopped using heat (cauterised). The remaining edges of skin are stitched together using dissolvable stitches. It will take up to 6 weeks for your son's penis to fully heal."
Recovering after male circumcision,"After the operation, a dressing will be put over the penis to protect the wound. It may be removed before your child goes home, or it may be left. If it is left it should fall off itself within 24 hours.
He will be allowed home after he's passed urine, which may be uncomfortable at first.
The penis will be sore and inflamed for a few days after the operation. Ointment may be prescribed to use for a few days to help the area heal. 
Your child will also need regular pain relief for at least 3 days. They can take paracetamol or ibuprofen following the instructions on the packet.
Your child will be able to have a bath the day after their operation. They should avoid riding a bicycle or other toys they sit on until any swelling has gone down.
It may be more comfortable to wear loose clothing – or no clothing at all – on his bottom half for a few days after the operation. Passing urine while in the bath or shower may also be more comfortable.
He should be able to return to school or nursery about a week after the operation. Make sure you tell the school or nursery about the operation.
In most cases, a follow-up appointment will not be necessary.
However, you should contact your GP or hospital care team if:
your child's penis is bleeding
your child's penis is still swollen 2 weeks after the operation
passing urine is still painful a few days after the operation"
Risks of male circumcision,"The risks associated with circumcisions when carried out by qualified and experienced doctors are small.
The main risk is bleeding, both during and after the operation. The surgeon will seal off any bleeding during the procedure, and the dressing applied afterwards will absorb any further bleeding.
However, seek medical advice if your child's penis continues to bleed after they return home.
Other possible complications include pain, infection of the wound and scarring."
Why circumcision is carried out in men,"Circumcision may be carried out for a number of reasons.
Medical reasons
In men, circumcision is most commonly carried out when the foreskin is tight and won't pull back (retract), which is known as phimosis.
But alternative treatments, such as topical steroids, are sometimes preferred.
Non-medical reasons
Circumcision is a common practice in the Jewish and Islamic communities, and it's also practised by many African communities.
Most non-medical circumcisions are carried out on children."
Medical reasons for men to have a circumcision,"In men, circumcision is sometimes considered a possible treatment option for the following conditions.
Tight foreskin (phimosis)
Phimosis is where the foreskin is too tight to be pulled back over the head of the penis (glans).
This can sometimes cause pain when the penis is erect and, in rare cases, passing urine may be difficult.
Recurrent balanitis
Balanitis is where the foreskin and head of the penis become inflamed and infected.
Paraphimosis
Paraphimosis is where the foreskin can't be returned to its original position after being pulled back, causing the head of the penis to become swollen and painful. It's a possible complication of a tight foreskin (phimosis).
Immediate treatment is needed to avoid serious complications, such as restricted blood flow to the penis.
Balanitis xerotica obliterans
This condition causes phimosis and, in some cases, also affects the head of the penis, which can become scarred and inflamed.
Cancer of the penis
Cancer of the penis (penile cancer) is a very rare type of cancer, where a wart-like growth or ulcer appears on the end of the penis or under the foreskin, or there is bleeding, discharge or changes in the skin of the penis or foreskin.
Other treatments
In most cases, circumcision will only be recommended when other, less invasive and less risky treatments have been tried and haven't worked.
Mild cases of phimosis can be treated with topical steroids to help soften the skin and make it easier for the foreskin to retract.
In paraphimosis, a healthcare professional may rub a local anaesthetic gel onto the glans to help reduce pain and inflammation.
They may then apply pressure to the head of the penis while pushing the foreskin forward.
In severe cases of paraphimosis, local anaesthetic gel can be applied to the penis and a small slit is made in the foreskin to help relieve the pressure.
Balanitis and balanitis xerotica obliterans can sometimes be successfully treated using corticosteroid ointment, gel or cream, antibiotic creams or antifungal creams.
The 3 main treatment options for penile cancer are:
surgery to remove the cancerous cells, and sometimes the surrounding tissue
radiotherapy
chemotherapy
If you're considering circumcision for a medical reason, it's worth discussing alternative treatment options with your GP or specialist."
HIV prevention,"There's evidence from several trials carried out in Africa that circumcised men have a lower risk of acquiring HIV.
But it's unclear whether circumcision can help prevent other sexually transmitted infections (STIs).
There have been several studies into circumcision and the risk of other STIs, but the evidence to date has been inconclusive and conflicting."
The procedure,"Circumcision is usually carried out on a day patient basis. This means you'll be admitted to hospital on the same day you have surgery and won't have to stay overnight.
You'll be asked not to eat and drink for 6 hours before surgery if you're having a general anaesthetic.
After you have been admitted to hospital, you'll be seen by the members of the medical team carrying out the procedure, including your surgeon and anaesthetist.
This is a good opportunity to discuss any concerns you have and ask questions about anything you're not sure about.
You'll be asked to sign a consent form to confirm you agree to the surgery.
You'll usually either have a general anaesthetic, which means you'll be unconscious throughout the procedure, or a local anaesthetic injection, which will numb your penis and the surrounding area.
In some cases, a spinal anaesthetic, where you're unable to feel anything below your waist, will be used.
Read more about the different types of anaesthesia
Circumcision is a relatively simple procedure. The foreskin is removed just behind the head of the penis using a scalpel or surgical scissors.
Any bleeding can be stopped using heat (cauterisation), and the remaining edges of skin will be stitched together using dissolvable stitches.
The British Association of Urological Surgeons (BAUS) has produced a leaflet that outlines the circumcision procedure in more detail"
Recovering after circumcision,"When you're discharged from hospital, you'll be given advice about your recovery at home, including when you can drive, return to work and have sex.
It usually takes at least 10 days for your penis to heal after circumcision.
You'll probably be advised to take at least 1 week off work to recover.
You don't need to tell the DVLA if you have had a routine circumcision and don't have any other medical conditions that affect your ability to drive.
But it's your responsibility to ensure you're fit to drive after having surgery.
You should avoid having sex for at least 4 weeks after your operation.
Your care team will give you a contact number to call in case you experience any problems or have any concerns.
You should also be given details about your follow-up appointment, which may be at the hospital or with your GP.
For 3 or 4 days after your operation, it's likely you'll experience some discomfort and swelling around the head of your penis.
Before leaving hospital, you'll be given painkilling medicine, such as paracetamol or ibuprofen, to help ease this.
But contact your GP if you have a temperature, increased redness, bleeding, persistent pain or throbbing of your penis, as it could be a sign of infection.
Applying petroleum jelly (Vaseline) around the tip of your penis will stop it sticking to your underwear.
Wearing light, loose-fitting clothing for 2 or 3 days after your operation will also help avoid irritation to your penis while it heals.
You may feel some discomfort while passing urine, but contact your GP if painkillers don't help or if the pain is getting worse.
If you are finding it hard to pee, you should contact your GP."
Risks of circumcision,"In the UK, complications after circumcisions carried out for medical reasons are rare and most men don't experience any significant problems.
Apart from the initial swelling, bleeding and infection are the 2 most common problems associated with circumcision.
Other possible complications of circumcision can include:
permanent reduction in sensation in the head of the penis, particularly during sex
tenderness around the scar
the need to remove stitches that haven't dissolved
occasionally, another operation is needed to remove some more skin from around the head of the penis"
Symptoms of cirrhosis,"You may not have any symptoms during the early stages of cirrhosis.
As your liver becomes more damaged, you may:
feel very tired and weak
feel sick (nausea)
lose your appetite
lose weight and muscle mass
get red patches on your palms and small, spider-like blood vessels on your skin (spider angiomas) above waist level
If cirrhosis gets worse, some of the symptoms and complications include:
yellowing of the skin and whites of the eyes (jaundice)
vomiting blood
itchy skin
dark pee and tarry-looking poo
bleeding or bruising easily
swollen legs (oedema) or tummy (ascites) from a build-up of fluid
loss of sex drive (libido)
See a GP if you think you may have cirrhosis."
Diagnosing cirrhosis,"If a GP suspects cirrhosis, they'll check your medical history and do a physical examination to look for signs of long-term liver disease.
You may have tests to confirm the diagnosis, such as:
blood tests
scans, such as an ultrasound, CT, MRI, or transient elastography scan
a liver biopsy, where a fine needle is used to remove a sample of liver cells so they can be examined under a microscope
If tests show that you have cirrhosis, a GP should refer you to see a doctor who specialises in liver problems (hepatologist).
If you have complications from cirrhosis, or a high chance of getting complications, you may be referred to a specialist liver centre."
Treating cirrhosis,"There's no cure for cirrhosis at the moment. However, there are ways to manage the symptoms and any complications and slow its progression.
Treating the problem that led to cirrhosis (for example, using anti-viral medicines to treat hepatitis C) can stop cirrhosis getting worse.
You may be advised to cut down or stop drinking alcohol, or to lose weight if you're overweight. 
A GP can help you get support if you need help to stop drinking or to lose weight.
If your liver is severely damaged, a liver transplant may be the only treatment option."
What causes cirrhosis,"In the UK, the most common causes of cirrhosis are:
drinking too much alcohol over many years
being infected with hepatitis for a long time, particularly hepatitis B or hepatitis C
a severe form of non-alcoholic fatty liver disease (NAFLD), called non-alcoholic steatohepatitis, where the liver becomes inflamed from a build-up of excess fat
Cirrhosis can also be caused by a problem affecting your bile ducts (such as primary biliary cholangitis) or immune system (such as autoimmune hepatitis), some inherited conditions, and the long-term use of certain medicines.
Alcohol-related liver disease
Drinking too much alcohol damages the liver. Over time, this can lead to alcohol-related liver disease.
Cirrhosis is the final stage of alcohol-related liver disease. It usually happens after many years of heavy drinking."
How to prevent cirrhosis,"Limit alcohol
The best way to prevent alcohol-related cirrhosis is to drink within the recommended limits.
The guidelines recommend:
men and women should not regularly drink more than 14 units of alcohol a week
you should spread your drinking over 3 days, or more, if you drink as much as 14 units a week
Stop drinking alcohol immediately if you have alcohol-related cirrhosis. Drinking alcohol speeds up the rate at which cirrhosis progresses, regardless of the cause.
A GP can offer help and advice if you're finding it difficult to cut down the amount you drink. 
Read more about where to get alcohol support.
Protect yourself from hepatitis
Hepatitis B and C are infections in the liver caused by a virus.
The hepatitis B virus is spread in blood and body fluids. The hepatitis C virus is usually spread in blood.
Common ways of spreading these viruses include having sex with an infected person without using a condom, or close contact with an infected person's blood, such as sharing their toothbrush or sharing needles to inject drugs.
Vaccination for hepatitis B is part of the NHS childhood vaccination schedule. The vaccine is also available to anyone who has an increased chance of getting hepatitis B.
There is no vaccine for hepatitis C at the moment.
Aim for a healthy weight
To reduce your chance of getting non-alcoholic fatty liver disease (NAFLD), which can lead to cirrhosis, make sure you're a healthy weight by eating a healthy, balanced diet and exercising regularly."
The liver,"The liver is an important organ that does hundreds of jobs that are vital for sustaining life.
For example, the liver:
stores glycogen, a type of fuel the body needs for energy
makes bile, which helps us digest fats
makes substances that help blood to clot and repair damaged tissues
processes and removes alcohol, toxins or medicines from the blood
helps the body fight infections
Your liver is very tough. It'll keep working even when it's damaged and can continue to repair itself until it's severely damaged."
Symptoms of CJD,"Symptoms of CJD include:
loss of intellect and memory
changes in personality
loss of balance and co-ordination
slurred speech
vision problems and blindness
abnormal jerking movements
progressive loss of brain function and mobility
Most people with CJD will die within a year of the symptoms starting, usually from infection.
This is because the immobility caused by CJD can make people with the condition vulnerable to infection.
Read more about the symptoms of Creutzfeldt-Jakob disease and diagnosing Creutzfeldt-Jakob disease."
What causes CJD?,"CJD appears to be caused by an abnormal infectious protein called a prion. These prions accumulate at high levels in the brain and cause irreversible damage to nerve cells.
While the abnormal prions are technically infectious, they're very different from viruses and bacteria.
For example, prions aren't destroyed by the extremes of heat and radiation used to kill bacteria and viruses, and antibiotics or antiviral medicines have no effect on them.
Read more about the causes of Creutzfeldt-Jakob disease."
Types of CJD,"There are 4 main types of CJD.
Sporadic CJD
Sporadic CJD is the most common type.
The precise cause of sporadic CJD is unclear, but it's been suggested that a normal brain protein changes abnormally (""misfolds"") and turns into a prion.
Most cases of sporadic CJD occur in adults aged between 45 and 75. On average, symptoms develop between the ages of 60 and 65.
Despite being the most common type of CJD, sporadic CJD is still very rare, affecting only 1 or 2 people in every million each year in the UK.
In 2020, there were 131 recorded deaths from sporadic CJD in the UK.
Variant CJD
Variant CJD (vCJD) is likely to be caused by consuming meat from a cow that had bovine spongiform encephalopathy (BSE, or ""mad cow"" disease), a similar prion disease to CJD.
Since the link between variant CJD and BSE was discovered in 1996, strict controls have proved very effective in preventing meat from infected cattle entering the food chain.
See preventing Creutzfeldt-Jakob disease for more information.
But the average time it takes for the symptoms of variant CJD to occur after initial infection (the incubation period) is still unclear.
The incubation period could be very long (more than 10 years) in some people, so those exposed to infected meat before the food controls were introduced can still develop variant CJD.
The prion that causes variant CJD can also be transmitted by blood transfusion, although this has only happened 5 times in the UK.
In 2020, there were no recorded deaths from variant CJD in the UK.
Familial or inherited CJD
Familial CJD is a very rare genetic condition where one of the genes a person inherits from their parent (the prion protein gene) carries a mutation that causes prions to form in their brain during adulthood, triggering the symptoms of CJD.
It affects about 1 in every 9 million people in the UK.
The symptoms of familial CJD usually first develop in people when they're in their early 50s.
In 2020, there were 6 deaths from familial CJD and similar inherited prion diseases in the UK.
Iatrogenic CJD
Iatrogenic CJD is where the infection is accidentally spread from someone with CJD through medical or surgical treatment.
For example, a common cause of iatrogenic CJD in the past was growth hormone treatment using human pituitary growth hormones extracted from deceased individuals, some of whom were infected with CJD.
Synthetic versions of human growth hormone have been used since 1985, so this is no longer a risk.
Iatrogenic CJD can also occur if instruments used during brain surgery on a person with CJD aren't properly cleaned between each surgical procedure and are reused on another person.
But increased awareness of these risks means iatrogenic CJD is now very rare.
In 2020, there was 1 death from iatrogenic CJD in the UK caused by receiving human growth hormone before 1985."
How CJD is treated,"There's currently no cure for CJD, so treatment aims to relieve symptoms and make the affected person feel as comfortable as possible.
This can include using medicine such as antidepressants to help with anxiety and depression, and painkillers to relieve pain.
Some people will need nursing care and assistance with feeding.
Read more about treating Creutzfeldt-Jakob disease."
Variant CJD compensation scheme,"In October 2001, the government announced a compensation scheme for UK victims of variant CJD.
The vCJD Trust assesses claims and pays compensation to victims and their families."
Triggers of claustrophobia,"Many different situations or feelings can trigger claustrophobia. Even thinking about certain situations without exposure to them could be a trigger.
Common triggers of claustrophobia include:
lifts
tunnels
tube trains
public toilets
rooms where the doors have to be locked
cars
hotel rooms with sealed windows
planes
If you have felt anxious in the last 6 months about being in a confined space or crowded place, or you have avoided these situations for this reason, it's likely that you're affected by claustrophobia.
MRI scan anxiety
If you have claustrophobia and need to have an MRI scan, let the staff at the hospital know before the day of your appointment.
You can talk to your consultant about having a sedative to help you relax. You should do this well in advance of having the scan.
In some cases, you may be able to attend an open or upright MRI centre, designed for people with severe MRI anxiety. But these clinics are often only available privately."
Symptoms of claustrophobia,"People with claustrophobia can have panic attacks. They can be very frightening and distressing.
As well as overwhelming feelings of anxiety, claustrophobia can also cause physical symptoms, such as:
sweating
trembling
hot flushes or chills
shortness of breath or difficulty breathing
a choking sensation
a rapid heartbeat (tachycardia)
chest pain or a feeling of tightness in the chest
a sensation of butterflies in the stomach
feeling sick
headaches and dizziness
feeling faint
numbness or pins and needles
a dry mouth
a need to go to the toilet
ringing in your ears
feeling confused or disorientated
If you have severe claustrophobia, you may also experience psychological symptoms, such as:
fear of losing control
fear of fainting
feelings of being detached from your body
fear of dying"
What causes claustrophobia?,"Claustrophobia is often caused by a traumatic event experienced during early childhood.
For example, adults may develop claustrophobia if, as a child, they:
were trapped or kept in a confined space
were bullied or abused
had a parent with claustrophobia
Claustrophobia can also be triggered by unpleasant experiences or situations, such as turbulence when flying or being stuck in a tube tunnel between stations.
A child growing up with a parent who has claustrophobia may develop claustrophobia themselves by associating confined spaces with their parent's anxiety and feeling helpless to comfort the person they loved."
Treating claustrophobia,"Many people live with claustrophobia without having it formally diagnosed and take great care to avoid confined spaces.
But getting help from a GP or a specialist with expertise in behavioural therapy, such as a psychologist, can often be beneficial.
Treatments are available for claustrophobia and can include:
talking treatments, including cognitive behavioural therapy (CBT) and exposure therapy
self-help - find out more about phobias and self-care on the Mind website
medicines, such as antidepressants or tranquilisers
CBT is a talking therapy that explores your thoughts, feelings and behaviour, and develops practical ways of effectively dealing with your phobia.
You can get free talking therapies, including CBT, on the NHS.
You do not need a referral from your GP.
You can refer yourself directly to a talking therapies service.
Find an NHS talking therapies service in your area
If you prefer, talk to a GP and they can refer you.
Exposure therapy is a type of CBT that gradually exposes you to the situation that causes your fear. It's sometimes also known as desensitisation therapy. You can do it by yourself or with the help of a professional.
Find out more about CBT and exposure therapy."
Coping with a panic attack,"If possible, stay where you are during a panic attack. It could last up to an hour, so if you're driving, you may need to pull over and park where it's safe to do so. Do not rush to a place of safety.
During the attack, remind yourself that the frightening thoughts and sensations are a sign of panic and will eventually pass.
Focus on something non-threatening and visible, such as the time passing on your watch or items in a supermarket.
The symptoms of a panic attack usually peak within 10 minutes, with most attacks lasting between 5 and 30 minutes.
Get more advice on coping with a panic attack"
